profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,data_status,REC,OBS,REPORT TIME,WMO/STATION/SATELLITE ID,LATI-,LONGI-,STN,SEQ,VSIG,PRES,GEOPOT,FLVL,AIR,DEW-,REL,WIND,WIND.1,replication_index,pressure_hpa,geopotential_height_m,height_010009_m,height_007007_m,height_bufr_m,height_phi_m,height_decoded_m,height_msl_m,height_msl_source,height_agl_m,station_elevation_m,below_station,in_working_profile,qc_flag,geopotential_m2s2,air_temperature_c,dew_point_temperature_c,wind_direction_deg,wind_speed,relative_humidity_percent,vertical_significance_code,VSIG_fxy,VSIG_unit,VSIG_kind,PRES_fxy,PRES_unit,PRES_kind,GEOPOT_fxy,GEOPOT_unit,GEOPOT_kind,FLVL_fxy,FLVL_unit,FLVL_kind,AIR_fxy,AIR_unit,AIR_kind,DEW-_fxy,DEW-_unit,DEW-_kind,REL_fxy,REL_unit,REL_kind,WIND_fxy,WIND_unit,WIND_kind,WIND.1_fxy,WIND.1_unit,WIND.1_kind
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,1000.0,,0.0,-27.7,,,,,,1000.0,0.0,,,,,0.0,0.0,enriched,-679.0,679.0,True,False,below_station,,-27.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,925.0,,500.0,-26.7,,,,,,925.0,500.0,,,,,500.0,500.0,enriched,-179.0,679.0,True,False,below_station,,-26.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,850.0,,1000.0,-24.7,,,,,,850.0,1000.0,,,,,1000.0,1000.0,enriched,321.0,679.0,False,True,,,-24.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,700.0,,1500.0,-26.7,,,,,,700.0,1500.0,,,,,1500.0,1500.0,enriched,821.0,679.0,False,True,,,-26.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,600.0,,2000.0,-29.7,,,,,,600.0,2000.0,,,,,2000.0,2000.0,enriched,1321.0,679.0,False,True,,,-29.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_0000_00,Aldan,gdas.adpupa.t00z.19990101.bufr,31004,0,1999-01-01T00:00:00Z,OK,ADPUPA,RAOBF,199901010000,31004,58.37,125.22,,,,500.0,,2500.0,-33.7,,,,,,500.0,2500.0,,,,,2500.0,2500.0,enriched,1821.0,679.0,False,True,,,-33.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_1200_12,Aldan,gdas.adpupa.t12z.19990101.bufr,31004,0,1999-01-01T12:00:00Z,OK,ADPUPA,RAOBF,199901011200,31004,58.37,125.22,,,,1000.0,,0.0,-27.7,,,,,,1000.0,0.0,,,,,0.0,0.0,enriched,-679.0,679.0,True,False,below_station,,-27.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_1200_12,Aldan,gdas.adpupa.t12z.19990101.bufr,31004,0,1999-01-01T12:00:00Z,OK,ADPUPA,RAOBF,199901011200,31004,58.37,125.22,,,,925.0,,500.0,-26.7,,,,,,925.0,500.0,,,,,500.0,500.0,enriched,-179.0,679.0,True,False,below_station,,-26.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_1200_12,Aldan,gdas.adpupa.t12z.19990101.bufr,31004,0,1999-01-01T12:00:00Z,OK,ADPUPA,RAOBF,199901011200,31004,58.37,125.22,,,,850.0,,1000.0,-24.7,,,,,,850.0,1000.0,,,,,1000.0,1000.0,enriched,321.0,679.0,False,True,,,-24.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19990101_1200_12,Aldan,gdas.adpupa.t12z.19990101.bufr,31004,0,1999-01-01T12:00:00Z,OK,ADPUPA,RAOBF,199901011200,31004,58.37,125.22,,,,700.0,,1500.0,-26.7,,,,,,700.0,1500.0,,,,,1500.0,1500.0,enriched,821.0,679.0,False,True,,,-26.7,,,,,,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
