station_id,station_name,datetime_utc,year,month,cycle,profile_id,level_index,pressure_hpa,temperature_c,height_m,source_file,qc_flag
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,0,1000.0,-27.7,0.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,1,925.0,-26.7,500.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,2,850.0,-24.7,1000.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,3,700.0,-26.7,1500.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,4,600.0,-29.7,2000.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,31004_19990101_0000_00,5,500.0,-33.7,2500.0,gdas.adpupa.t00z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,0,1000.0,-27.7,0.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,1,925.0,-26.7,500.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,2,850.0,-24.7,1000.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,3,700.0,-26.7,1500.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,4,600.0,-29.7,2000.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,31004_19990101_1200_12,5,500.0,-33.7,2500.0,gdas.adpupa.t12z.19990101.bufr,
31004,Aldan,1999-01-02T00:00:00Z,1999,1,00,31004_19990102_0000_00,0,1000.0,-27.4,0.0,gdas.adpupa.t00z.19990102.bufr,
